,Id,No,Si,departamento,habilitados,nomarcados,nombre,nulos,total votos,validos
0,29004,1005,452,TOLIMA,3725,14,ALPUJARRA,46,1517,1457
1,29007,1415,1312,TOLIMA,8422,24,ALVARADO,36,2787,2727
2,29010,1126,1216,TOLIMA,6922,14,AMBALEMA,47,2403,2342
3,29013,1576,693,TOLIMA,7462,51,ANZOATEGUI,42,2362,2269
4,29019,3451,1658,TOLIMA,14957,75,ATACO,68,5252,5109
5,29022,4084,1823,TOLIMA,16190,54,CAJAMARCA,85,6046,5907
6,29028,953,922,TOLIMA,4940,29,CASABIANCA,22,1926,1875
7,29040,6694,5476,TOLIMA,38101,174,CHAPARRAL,172,12516,12170
8,29031,1157,1488,TOLIMA,7709,22,COELLO,34,2701,2645
9,29034,2081,3404,TOLIMA,17192,119,COYAIMA,81,5685,5485
10,29037,1516,1075,TOLIMA,7208,26,CUNDAY,31,2648,2591
11,29043,1563,1109,TOLIMA,6729,35,DOLORES,52,2759,2672
12,29046,14623,8388,TOLIMA,58148,111,ESPINAL,324,23446,23011
13,29049,995,1147,TOLIMA,5702,36,FALAN,52,2230,2142
14,29052,4194,2373,TOLIMA,17194,38,FLANDES,88,6693,6567
15,29055,5542,2741,TOLIMA,26101,100,FRESNO,183,8566,8283
16,29058,5783,3042,TOLIMA,25766,75,GUAMO,114,9014,8825
17,29061,1128,724,TOLIMA,5922,40,HERVEO,40,1932,1852
18,29064,4788,3549,TOLIMA,23027,62,HONDA,150,8549,8337
19,29001,108879,70780,TOLIMA,392554,656,IBAGUE,2184,182499,179659
20,29067,1335,1498,TOLIMA,8395,30,ICONONZO,49,2912,2833
21,29070,2812,2748,TOLIMA,15269,28,LERIDA,77,5665,5560
22,29073,5238,5158,TOLIMA,32895,145,LIBANO,226,10767,10396
23,29076,6277,4570,TOLIMA,28817,80,MARIQUITA,217,11144,10847
24,29079,7663,3102,TOLIMA,27553,47,MELGAR,130,10942,10765
25,29080,690,409,TOLIMA,3782,14,MURILLO,56,1169,1099
26,29082,2331,2970,TOLIMA,15411,41,NATAGAIMA,78,5420,5301
27,29085,4872,3247,TOLIMA,23729,159,ORTEGA,227,8505,8119
28,29087,1412,1003,TOLIMA,7468,24,PALOCABILDO,49,2488,2415
29,29088,959,974,TOLIMA,5387,10,PIEDRAS,25,1968,1933
30,29089,3081,2818,TOLIMA,19662,108,PLANADAS,198,6205,5899
31,29091,1799,1121,TOLIMA,7933,36,PRADO,43,2999,2920
32,29094,4139,4045,TOLIMA,20186,50,PURIFICACION,105,8339,8184
33,29097,2317,2209,TOLIMA,16033,133,RIOBLANCO,119,4778,4526
34,29100,728,768,TOLIMA,4175,22,RONCESVALLES,48,1566,1496
35,29103,4287,1776,TOLIMA,19506,57,ROVIRA,152,6272,6063
36,29105,2954,1463,TOLIMA,12416,22,SALDAÑA,53,4492,4417
37,29115,1095,700,TOLIMA,4386,3,SUAREZ,15,1813,1795
38,29121,2478,1929,TOLIMA,11721,29,VENADILLO,52,4488,4407
39,29124,1732,605,TOLIMA,7181,43,VILLAHERMOSA,39,2419,2337
40,29127,1070,671,TOLIMA,5204,10,VILLARRICA,42,1793,1741
41,88120,75,488,CONSULADOS,2942,0,ALEMANIA,1,564,563
42,88155,226,1166,CONSULADOS,6040,2,ARGENTINA,2,1396,1392
43,88160,426,228,CONSULADOS,3024,1,ARUBA,1,656,654
44,88165,280,695,CONSULADOS,3843,0,AUSTRALIA,0,975,975
45,88170,29,139,CONSULADOS,518,0,AUSTRIA,0,168,168
46,88190,71,314,CONSULADOS,1487,1,BELGICA,0,386,385
47,88215,60,67,CONSULADOS,726,0,BOLIVIA,0,127,127
48,88220,86,388,CONSULADOS,2029,0,BRASIL,2,476,474
49,88250,1559,2717,CONSULADOS,17355,1,CANADA,6,4283,4276
50,88305,421,879,CONSULADOS,5228,1,CHILE,1,1302,1300
51,88320,10,13,CONSULADOS,41,0,CHIPRE,1,24,23
52,88290,1,16,CONSULADOS,188,0,CUBA,0,17,17
53,88140,142,89,CONSULADOS,1321,0,CURAZAO,2,233,231
54,88325,1,28,CONSULADOS,57,0,DINAMARCA,0,29,29
55,88330,991,1686,CONSULADOS,23212,10,ECUADOR,13,2700,2677
56,88335,2,14,CONSULADOS,144,0,EGIPTO,0,16,16
57,88355,2235,4891,CONSULADOS,85658,8,ESPAÑA,4,7138,7126
58,88370,4,12,CONSULADOS,66,0,FILIPINAS,0,16,16
59,88375,6,33,CONSULADOS,70,0,FINLANDIA,0,39,39
60,88380,317,1498,CONSULADOS,7110,1,FRANCIA,0,1816,1815
61,88115,0,5,CONSULADOS,17,0,GHANA,0,5,5
62,88405,4,19,CONSULADOS,47,0,GRECIA,0,23,23
63,88410,106,109,CONSULADOS,724,0,GUATEMALA,0,215,215
64,88435,68,233,CONSULADOS,1693,0,HOLANDA,0,301,301
65,88440,27,34,CONSULADOS,441,0,HONDURAS,0,61,61
66,88455,0,14,CONSULADOS,79,0,INDIA,0,14,14
67,88460,9,47,CONSULADOS,190,0,INDONESIA,0,56,56
68,88465,532,1159,CONSULADOS,9177,1,INGLATERRA,2,1694,1691
69,88470,16,33,CONSULADOS,91,0,IRLANDA,0,49,49
70,88490,22,39,CONSULADOS,774,0,ISRAEL,1,62,61
71,88495,107,321,CONSULADOS,5241,1,ITALIA,2,431,428
72,88500,18,14,CONSULADOS,256,0,JAMAICA,0,32,32
73,88505,33,79,CONSULADOS,799,0,JAPON,0,112,112
74,88515,2,13,CONSULADOS,57,0,KENIA,0,15,15
75,88535,12,34,CONSULADOS,739,0,LIBANO,0,46,46
76,88560,7,13,CONSULADOS,105,0,MALASIA,0,20,20
77,88580,0,6,CONSULADOS,16,0,MARRUECOS,0,6,6
78,88590,337,742,CONSULADOS,4304,0,MEXICO,0,1079,1079
79,88620,13,48,CONSULADOS,226,0,NICARAGUA,0,61,61
80,88635,1,26,CONSULADOS,108,0,NORUEGA,0,27,27
81,88655,783,704,CONSULADOS,11757,1,PANAMA,3,1491,1487
82,88665,36,34,CONSULADOS,261,0,PARAGUAY,0,70,70
83,88670,239,449,CONSULADOS,2755,0,PERU,1,689,688
84,88675,5,21,CONSULADOS,114,0,POLONIA,0,26,26
85,88680,15,58,CONSULADOS,353,0,PORTUGAL,0,73,73
86,88700,3,31,CONSULADOS,304,0,RUSIA,0,34,34
87,88745,21,41,CONSULADOS,184,0,SUDAFRICA,1,63,62
88,88755,57,216,CONSULADOS,1267,0,SUECIA,0,273,273
89,88760,142,514,CONSULADOS,2724,0,SUIZA,0,656,656
90,88765,2,13,CONSULADOS,52,0,TAILANDIA,0,15,15
91,88770,6,20,CONSULADOS,70,0,TURQUIA,0,26,26
92,88805,23,76,CONSULADOS,391,0,URUGUAY,1,100,99
93,88815,5539,9903,CONSULADOS,188352,45,VENEZUELA,76,15563,15442
94,72006,952,2717,VICHADA,19420,42,CUMARIBO,52,3763,3669
95,56004,216,974,SAN ANDRES,4017,16,PROVIDENCIA,4,1210,1190
96,44002,842,445,CAQUETA,3923,121,ALBANIA,22,1430,1287
97,44012,1052,729,CAQUETA,7604,35,CURILLO,55,1871,1781
98,44001,23593,14803,CAQUETA,115892,187,FLORENCIA,421,39004,38396
99,44016,590,750,CAQUETA,6861,9,MILAN,20,1369,1340
100,44017,731,387,CAQUETA,3584,9,MORELIA,16,1143,1118
101,44022,460,1506,CAQUETA,7754,18,SOLANO,20,2004,1966
102,44024,804,484,CAQUETA,5746,18,SOLITA,26,1332,1288
103,44040,805,724,CAQUETA,6188,22,VALPARAISO,60,1611,1529
104,48002,1655,2333,LA GUAJIRA,16633,87,ALBANIA,64,4139,3988
105,48004,1806,4562,LA GUAJIRA,23913,13,BARRANCAS,73,6454,6368
106,48005,1309,3306,LA GUAJIRA,20549,49,DIBULLA,68,4732,4615
107,48008,892,1587,LA GUAJIRA,8243,12,DISTRACCION,31,2522,2479
108,48007,2463,6402,LA GUAJIRA,25836,40,FONSECA,101,9006,8865
109,48009,1304,2846,LA GUAJIRA,14034,31,HATONUEVO,59,4240,4150
110,48010,9563,10766,LA GUAJIRA,120312,257,MAICAO,187,20773,20329
111,48011,1418,1768,LA GUAJIRA,52567,30,MANAURE,44,3260,3186
112,48001,10092,17613,LA GUAJIRA,111639,287,RIOHACHA,298,28290,27705
113,48016,1658,1713,LA GUAJIRA,101417,19,URIBIA,44,3434,3371
