,index,Id,municipio,departamento,Si,No,validos,nulos,nomarcados,total votos,habilitados,TIPO DE VICTIMA,TOTAL
0,71,60001,LETICIA,AMAZONAS,4403,4463,8866,84,40,8990,34592,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,91
1,73,60022,TARAPACA,AMAZONAS,265,68,333,4,7,344,1304,Víctimas de conflicto armado,16
2,72,60001,LETICIA,AMAZONAS,4403,4463,8866,84,40,8990,34592,Víctimas de conflicto armado,2376
3,1290,01202,PUEBLORRICO,ANTIOQUIA,593,1138,1731,24,32,1787,7113,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,19
4,1253,01148,HELICONIA,ANTIOQUIA,632,795,1427,29,36,1492,6157,Víctimas de conflicto armado,1167
5,1252,01148,HELICONIA,ANTIOQUIA,632,795,1427,29,36,1492,6157,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,65
6,1251,01145,GUATAPE,ANTIOQUIA,1232,1966,3198,37,26,3261,6523,Víctimas de conflicto armado,2473
7,1250,01145,GUATAPE,ANTIOQUIA,1232,1966,3198,37,26,3261,6523,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,76
8,1249,01142,GUARNE,ANTIOQUIA,3870,10604,14474,214,116,14804,31687,Víctimas de conflicto armado,3348
9,1248,01142,GUARNE,ANTIOQUIA,3870,10604,14474,214,116,14804,31687,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,223
10,1247,01140,GUADALUPE,ANTIOQUIA,714,587,1301,47,40,1388,5656,Víctimas de conflicto armado,591
11,1246,01140,GUADALUPE,ANTIOQUIA,714,587,1301,47,40,1388,5656,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,29
12,1245,01139,GRANADA,ANTIOQUIA,1382,2120,3502,53,75,3630,10270,Víctimas de conflicto armado,21119
13,1244,01139,GRANADA,ANTIOQUIA,1382,2120,3502,53,75,3630,10270,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,95
14,1243,01133,GIRARDOTA,ANTIOQUIA,6088,10680,16768,277,90,17135,47612,Víctimas de conflicto armado,2149
15,1242,01133,GIRARDOTA,ANTIOQUIA,6088,10680,16768,277,90,17135,47612,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,233
16,1241,01130,GIRALDO,ANTIOQUIA,666,557,1223,17,11,1251,3946,Víctimas de conflicto armado,612
17,1240,01130,GIRALDO,ANTIOQUIA,666,557,1223,17,11,1251,3946,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,40
18,1254,01150,HISPANIA,ANTIOQUIA,459,654,1113,11,18,1142,5219,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,6
19,1239,01127,FRONTINO,ANTIOQUIA,2148,1744,3892,78,68,4038,16785,Víctimas de conflicto armado,11675
20,1237,01124,FREDONIA,ANTIOQUIA,1703,3064,4767,64,27,4858,18196,Víctimas de conflicto armado,907
21,1236,01124,FREDONIA,ANTIOQUIA,1703,3064,4767,64,27,4858,18196,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,52
22,1235,01121,ENVIGADO,ANTIOQUIA,37800,67255,105055,1061,872,106988,232003,Víctimas de conflicto armado,4996
23,1234,01121,ENVIGADO,ANTIOQUIA,37800,67255,105055,1061,872,106988,232003,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,412
24,1233,01118,ENTRERRIOS,ANTIOQUIA,868,1766,2634,30,16,2680,7957,Víctimas de conflicto armado,293
25,1232,01118,ENTRERRIOS,ANTIOQUIA,868,1766,2634,30,16,2680,7957,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,21
26,1231,01115,EBEJICO,ANTIOQUIA,967,1788,2755,32,59,2846,11421,Víctimas de conflicto armado,233
27,1230,01115,EBEJICO,ANTIOQUIA,967,1788,2755,32,59,2846,11421,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,6
28,1229,01109,DABEIBA,ANTIOQUIA,2971,1622,4593,99,166,4858,16986,Víctimas de conflicto armado,17489
29,1228,01109,DABEIBA,ANTIOQUIA,2971,1622,4593,99,166,4858,16986,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,161
30,1227,01103,COPACABANA,ANTIOQUIA,9535,15052,24587,369,323,25279,62062,Víctimas de conflicto armado,3904
